Recurso,Pendiente_kg_por_anio,R2_historico,kg_promedio,n_anios
Bagre (Occidentarius platypogon),2548.9963636363645,0.23183451410415645,40148.66363636364,11
Pargo dientón (Lutjanus novemfasciatus),2572.2554545454554,0.29757876872843136,18833.454545454544,11
Dorado (Coryphaena hippurus),2908.198181818168,0.0006665742293656685,882444.9272727272,11
Jurel (Caranx caninus),3058.466363636365,0.16673949006847266,71668.7,11
Cabezón (Pomadasys panamensis),3082.354545454544,0.021335913516870142,311924.23636363633,11
Berrugate (Lobotes pacifica),3312.02090909091,0.4394421466520968,29440.409090909092,11
Róbalo (Centropomus spp.),4096.742727272729,0.42114910736608835,52933.97272727273,11
Sardina (Engraulidae),4245.671326530612,0.33115113314629563,12063.133333333335,9
Corvina amarilla (Cynoscion albus),4257.817272727274,0.2942679492445296,46556.836363636365,11
Corvina (Sciaenidae),4338.5463636363675,0.024508863557962224,390544.76363636367,11
Pargo de la mancha (Lutjanus guttatus),4968.902727272729,0.46424562003892234,65021.65454545455,11
Corvina blanca (Cynoscion phoxocephalus),5140.545454545457,0.3407240356241953,51384.318181818184,11
Camarón fidel (Solenocera agassizii),5366.705454545454,0.05921058510867527,105753.48181818183,11
Camarón carabalí (Rimapenaeus byrdi),9566.304545454546,0.046462236333667306,51392.62727272727,11
Revoltura,11944.673636363645,0.3360010559447064,628749.6636363636,11
Congrio (Brotula clarkae),15493.194545454544,0.32883864400166085,144418.17272727273,11
Camarón rojo (Farfantepenaeus brevirostris),18160.786363636365,0.056803512627665365,528603.0818181819,11
Atún aleta amarilla (Thunnus albacares),187895.05000000005,0.546017791527861,1250487.8909090909,11
Arenque (Opisthonema spp.),1150891.4272727277,0.27631591423345137,24234752.10909091,11
